STABR;FSCSKEY;LIBID;LIBNAME;ADDRESS;CITY;ZIP;PHONE;VISITS;LONGITUDE;LATITUDE
AK;AK0001;AK0001-002;ANCHOR POINT PUBLIC LIBRARY;34020 NORTH FORK ROAD;ANCHOR POINT;99556;9072355692;7333;-151825607;5977965
AK;AK0002;AK0002-011;ANCHORAGE PUBLIC LIBRARY;3600 DENALI STREET;ANCHORAGE;99503;9073432892;839170;-149876823;61187449
AK;AK0003;AK0003-002;ANDERSON COMMUNITY LIBRARY;101 FIRST STREET;ANDERSON;99744;9075822628;1162;-149187835;64343638
AK;AK0006;AK0006-002;KUSKOKWIM CONSORTIUM LIBRARY;420 CHIEF EDDIE HOFFMAN HIGHWAY;BETHEL;99559;9075434516;46000;-161771054;60791143
AK;AK0007;AK0007-002;BIG LAKE PUBLIC LIBRARY;3140 SOUTH BIG LAKE ROAD;BIG LAKE;99652;9078617635;63981;-14981979;615475
AK;AK0008;AK0008-002;CANTWELL COMMUNITY LIBRARY;1 SCHOOL ROAD;CANTWELL;99729;9077682372;3000;-148900568;63391202
AK;AK0011;AK0011-002;CHINIAK PUBLIC LIBRARY;43318 SPRUCE WAY;CHINIAK;99615;9075120880;320;-152231294;57612456
AK;AK0014;AK0014-002;COLD BAY PUBLIC LIBRARY;10 BARANOV ROAD;COLD BAY;99571;9075322878;494;-160693051;55696879
AK;AK0015;AK0015-002;COOPER LANDING COMMUNITY LIBRARY;18511 BEAN CREEK ROAD;COOPER LANDING;99572;9075951241;2385;-149823577;60494046
AK;AK0016;AK0016-002;CORDOVA PUBLIC LIBRARY;601 FIRST STREET;CORDOVA;99574;9074246667;23363;-145758972;60547169
AK;AK0017;AK0017-003;CRAIG PUBLIC LIBRARY;504 THIRD STREET;CRAIG;99921;9078263281;18733;-133151431;55476079
AK;AK0018;AK0018-002;IPNATCHIAQ LIBRARY;59 MAIN STREET;DEERING;99736;9073632136;-3;-162719672;66076015
AK;AK0019;AK0019-002;DELTA COMMUNITY LIBRARY;2291 DEBORAH STREET;DELTA JUNCTION;99737;9078954102;48071;-145734419;64046834
AK;AK0020;AK0020-002;DILLINGHAM PUBLIC LIBRARY;306 D STREET WEST;DILLINGHAM;99576;9078425610;30570;-158463622;59040735
AK;AK0021;AK0021-002;EAGLE PUBLIC LIBRARY;4TH & AMUNDSEN;EAGLE;99738;9075472334;2500;-141201518;64786619
AK;AK0023;AK0023-002;FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES;1215 COWLES STREET;FAIRBANKS;99701;9074591022;389741;-147738133;64838939
AK;AK0025;AK0025-002;CHARLES EVANS COMMUNITY/SCHOOL LIBRARY;299 ANTOSKI ROAD;GALENA;99741;9076561883;3163;-156878295;64745865
AK;AK0027;AK0027-002;COPPER VALLEY COMMUNITY LIBRARY;MILE 186 GLENN HIGHWAY;GLENNALLEN;99588;9078225427;7480;-145561267;62109444
AK;AK0028;AK0028-002;GUSTAVUS PUBLIC LIBRARY;14 GUSTAVUS ROAD;GUSTAVUS;99826;9076972350;9871;-135706422;58420538
AK;AK0029;AK0029-002;HAINES BOROUGH PUBLIC LIBRARY;111 THIRD AVENUE SOUTH;HAINES;99827;9077662545;90956;-13544801;59233462
AK;AK0030;AK0030-002;TRI-VALLEY COMMUNITY LIBRARY;400 SUNTRANA STREET;HEALY;99743;9076832507;5152;-149018245;63873505
AK;AK0031;AK0031-002;HOLLIS PUBLIC LIBRARY;NO. 1 HOLLIS CHILKAT ROAD;HOLLIS;99950;9075307112;1371;-133075907;55781881
AK;AK0032;AK0032-002;HOMER PUBLIC LIBRARY;500 HAZEL AVENUE;HOMER;99603;9072353180;141159;-151532422;59643721
AK;AK0033;AK0033-002;HOPE COMMUNITY LIBRARY;18487 A AVENUE;HOPE;99605;9077823121;1846;-14964143;6091846
AK;AK0035;AK0035-004;JUNEAU PUBLIC LIBRARIES;292 MARINE WAY;JUNEAU;99801;9075860443;204522;-134403929;58298487
