STABR;FSCSKEY;LIBID;LIBNAME;ADDRESS;CITY;ZIP;PHONE;VISITS;LONGITUDE;LATITUDE
AK;AK0001;AK0001-002;ANCHOR POINT PUBLIC LIBRARY;34020 NORTH FORK ROAD;ANCHOR POINT;99556;9072355692;6679;-151831591;59779667
AK;AK0002;AK0002-011;ANCHORAGE PUBLIC LIBRARY;3600 DENALI STREET;ANCHORAGE;99503;9073432892;860751;-149876735;61187512
AK;AK0003;AK0003-002;ANDERSON COMMUNITY LIBRARY;101 FIRST STREET;ANDERSON;99744;9075822628;1145;-149174471;64343714
AK;AK0006;AK0006-002;KUSKOKWIM CONSORTIUM LIBRARY;420 CHIEF EDDIE HOFFMAN HIGHWAY;BETHEL;99559;9075434516;44775;-161771006;60791148
AK;AK0007;AK0007-002;BIG LAKE PUBLIC LIBRARY;3140 SOUTH BIG LAKE ROAD;BIG LAKE;99652;9078617635;62283;-149818642;61547268
AK;AK0008;AK0008-002;CANTWELL COMMUNITY LIBRARY;1 SCHOOL ROAD;CANTWELL;99729;9077682372;3205;-148792318;63638156
AK;AK0011;AK0011-002;CHINIAK PUBLIC LIBRARY;43318 SPRUCE WAY;CHINIAK;99615;9075120880;337;-152234562;57612147
AK;AK0014;AK0014-002;COLD BAY PUBLIC LIBRARY;10 BARANOV ROAD;COLD BAY;99571;9075322878;996;-162709803;55207101
AK;AK0015;AK0015-002;COOPER LANDING COMMUNITY LIBRARY;18511 BEAN CREEK ROAD;COOPER LANDING;99572;9075951241;2765;-149824176;60493891
AK;AK0016;AK0016-002;CORDOVA PUBLIC LIBRARY;601 FIRST STREET;CORDOVA;99574;9074246667;18374;-145758687;60544525
AK;AK0017;AK0017-003;CRAIG PUBLIC LIBRARY;504 THIRD STREET;CRAIG;99921;9078263281;20254;-133148393;55474758
AK;AK0018;AK0018-002;IPNATCHIAQ LIBRARY;59 MAIN STREET;DEERING;99736;9073632136;276;-163490055;65822284
AK;AK0019;AK0019-002;DELTA COMMUNITY LIBRARY;2291 DEBORAH STREET;DELTA JUNCTION;99737;9078954102;49601;-145734637;6404679
AK;AK0020;AK0020-002;DILLINGHAM PUBLIC LIBRARY;306 D STREET WEST;DILLINGHAM;99576;9078425610;35184;-158463822;59040686
AK;AK0021;AK0021-002;EAGLE PUBLIC LIBRARY;4TH & AMUNDSEN;EAGLE;99738;9075472334;2432;-141202641;64787109
AK;AK0023;AK0023-002;FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES;1215 COWLES STREET;FAIRBANKS;99701;9074591022;456170;-147738638;64838451
AK;AK0025;AK0025-002;CHARLES EVANS COMMUNITY/SCHOOL LIBRARY;299 ANTOSKI ROAD;GALENA;99741;9076561883;3101;-15688152;64749499
AK;AK0027;AK0027-002;COPPER VALLEY COMMUNITY LIBRARY;MILE 186 GLENN HIGHWAY;GLENNALLEN;99588;9078225427;8996;-145561269;6210946
AK;AK0028;AK0028-002;GUSTAVUS PUBLIC LIBRARY;14 GUSTAVUS ROAD;GUSTAVUS;99826;9076972350;10716;-13572554;58412632
AK;AK0029;AK0029-002;HAINES BOROUGH PUBLIC LIBRARY;111 THIRD AVENUE SOUTH;HAINES;99827;9077662545;90616;-135447976;59233451
AK;AK0030;AK0030-002;TRI-VALLEY COMMUNITY LIBRARY;400 SUNTRANA STREET;HEALY;99743;9076832507;5144;-14901818;63873445
AK;AK0031;AK0031-002;HOLLIS PUBLIC LIBRARY;NO. 1 HOLLIS CHILKAT ROAD;HOLLIS;99950;9075307112;1612;-132951791;55929205
AK;AK0032;AK0032-002;HOMER PUBLIC LIBRARY;500 HAZEL AVENUE;HOMER;99603;9072353180;135957;-151531835;59643586
AK;AK0033;AK0033-002;HOPE COMMUNITY LIBRARY;18487 A AVENUE;HOPE;99605;9077823121;1970;-14964132;60918742
AK;AK0035;AK0035-004;JUNEAU PUBLIC LIBRARIES;292 MARINE WAY;JUNEAU;99801;9075860443;221660;-134404544;58298585
AK;AK0037;AK0037-002;KASILOF PUBLIC LIBRARY;58231 STERLING HIGHWAY;KASILOF;99610;9072525886;5760;-151266222;60308254
AK;AK0038;AK0038-002;KENAI COMMUNITY LIBRARY;163 MAIN STREET LOOP;KENAI;99611;9072834378;93445;-151246778;60559232
AK;AK0039;AK0039-002;KETCHIKAN PUBLIC LIBRARY;1110 COPPER RIDGE LANE;KETCHIKAN;99901;9072253331;90420;-131651304;55349012
AK;AK0040;AK0040-002;KODIAK PUBLIC LIBRARY;612 EGAN WAY;KODIAK;99615;9074868686;181188;-152397484;57792622
AK;AK0041;AK0041-002;CHUKCHI CONSORTIUM LIBRARY;604 THIRD STREET;KOTZEBUE;99752;9074422410;23000;-162587344;66899306
AK;AK0044;AK0044-002;MCGRATH COMMUNITY LIBRARY;249 F STREET;MCGRATH;99627;9075243843;4136;-155588852;62949704
AK;AK0046;AK0046-002;CENTENNIAL LIBRARY;4TH & MILTON STREET;METLAKATLA;99926;9078866000;1220;-1315752;55128457
AK;AK0047;AK0047-004;MARTIN MONSEN REGIONAL LIBRARY;101 MAIN STREET;NAKNEK;99633;9072464465;11173;-157006441;58734779
AK;AK0048;AK0048-002;NENANA PUBLIC LIBRARY;106 EAST SECOND STREET;NENANA;99760;9078325812;9932;-149095578;64562392
AK;AK0051;AK0051-002;NINILCHIK COMMUNITY LIBRARY;15850 STERLING HIGHWAY;NINILCHIK;99639;9075673333;4881;-151674982;6004179
AK;AK0052;AK0052-002;KEGOAYAH KOZGA LIBRARY;100 WEST 7TH AVENUE;NOME;99762;9074436628;25000;-165403861;64497236
AK;AK0053;AK0053-002;NORTHWAY COMMUNITY/SCHOOL LIBRARY;496 NORTHWAY ROAD;NORTHWAY;99764;9077782310;413;-141884183;62960966
AK;AK0055;AK0055-002;PALMER PUBLIC LIBRARY;655 SOUTH VALLEY WAY;PALMER;99645;9077611371;104021;-149113009;61599781
